Title: November 2024 Personal Expense Report
Date,Description,Category,Amount,Location
2024-12-01,Villa Franca,Hotel,87.39,Carmel Highlands
2024-12-02,Big Sur River Inn Medals,Shopping,23.45,Big Sur
2024-12-02,Hyatt Highlands Restaurant,Dining & Drinks,141.12,Carmel Highlands
2024-12-02,Beep's Burger,Dining & Drinks,60.97,San Francisco
2024-12-01,El Favorito Tacos,Dining & Drinks, 42.38,San Francisco
2024-12-01,Costco,Shopping, 40.64,San Francisco
2024-12-01,Bob's Donuts,Dining & Drinks,7.5,San Francisco
2024-11-30,Bob's Donuts,Dining & Drinks, 5.75,San Francisco
2024-11-29,Daeho Korean BBQ,Dining & Drinks,198.10,San Francisco
2024-11-29,Salt & Straw Ice Cream,Dining & Drinks,6.75,San Francisco
2024-11-29,Tacos El Gordo,Dining & Drinks,46.71,San Diego
2024-11-29,Stella Jean's Ice Cream,Dining & Drinks,19.75,San Diego
2024-11-29,Greenleaf Cafe,Dining & Drinks,6.73,Irvine
2024-11-29,Pier Burger Restaurant,Dining & Drinks,15.05,Los Angeles
2024-11-29,Pacific Park Tickets,Entertainment,34.00,Los Angeles
2024-11-29,7-Eleven Convenience Stodre,Shopping,2.69,Irvine
2024-11-29,Moby Dick Restaurant,Dining & Drinks,161.10,Santa Barbara
2024-11-29,Great Pacific Ice Cream,Dining & Drinks,14.50,Santa Barbara
2024-11-29,The Bite Restaurant,Dining & Drinks,45.57,San Francisco
2024-11-28,Walmart,Shopping,85.00,Irvine

2024-11-29,Parking,Auto & Transport,7.00,Santa Monica
2024-11-29,Pier Burger Restaurant,Dining & Drinks,9.66,Los Angeles
2024-11-30,The Kebab Shop,Dining & Drinks,36.85,San Diego
2024-11-30,Parking,Auto & Transport,1.25,San Diego
2024-11-29,Speedway Gas,Auto & Transport,5.00,Irvine
2024-11-29,Gas,Auto & Transport,66.52,Irvine
2024-11-29,7-Eleven Coffee,Dining & Drinks,9.36,Irvine
2024-11-29,Gas,Auto & Transport,22.20,Carmel Highlands
2024-11-29,Speedway Gas,Auto & Transport,53.50,Monterey
2024-11-30,Parking,Auto & Transport,2.81,San Francisco
2024-11-30,Parking,Auto & Transport,3.75,San Francisco
2024-11-30,Bob's Donuts,Dining & Drinks,5.5,San Francisco
2024-11-30,Parking,Auto & Transport,7.00,San Francisco
2024-11-30,Grant Plaza Hotel,Hotel,338.84,San Francisco
2024-12-01,Bakery,Dining & Drinks,28.18,San Francisco
2024-12-01,Bob's Donuts,Dining & Drinks,9.25,San Francisco
2024-12-01,Gas,Auto & Transport,58.00,San Francisco
2024-12-01,Delah,Dining & Drinks,44.93,San Francisco
2024-12-01,Big Sur River Inn Medals,Shopping,6.45,Big Sur
2024-12-02,Gas,Auto & Transport,43.88,Carmel Highlands
2024-12-02,Drinks,Dining & Drinks,5.57,Carmel Highlands
2024-11-30,Cheaper Than Therapy,Entertainment,50.00,San Francisco
2024-11-30,Lyft Cycling,Entertainment,10.19,San Francisco
2024-11-30,Lyft Cycling,Entertainment,12.79,San Francisco
2024-11-30,Lyft Cycling,Entertainment,6.61,San Francisco
2024-11-30,Lyft Cycling,Entertainment,10.19,San Francisco
2024-11-30,Lyft Cycling,Entertainment,12.79,San Francisco
2024-11-30,Lyft Cycling,Entertainment,6.61,San Francisco
2024-12-03,Gas,Auto & Transport,60.01,Irvine
2024-12-03,Taco Stand,Dining & Drinks,54.00,Irvine
2024-12-03,In-N-Out Burger,Dining & Drinks,20.00,San Francisco
