Date,Description,Category,Amount,Location
2024-12-01,Villa Franca,Hotel,87.39,Carmel Highlands
2024-12-02,Hyatt Highlands Restaurant,Dining & Drinks,141.12,Carmel Highlands
2024-12-01,Beep's Burger,Dining & Drinks,60.97,San Francisco
2024-12-01,El Favorito Tacos,Dining & Drinks, 42.38,San Francisco
2024-12-01,Costco,Shopping, 40.64,San Francisco
2024-11-29,Daeho Korean BBQ,Dining & Drinks,198.10,San Francisco
2024-11-29,Tacos El Gordo,Dining & Drinks,46.71,San Diego
2024-11-29,Stella Jean's Ice Cream,Dining & Drinks,19.75,San Diego
2024-11-29,Pacific Park Tickets,Entertainment,34.00,Los Angeles
2024-11-29,7-Eleven Convenience Stodre,Shopping,2.69,Irvine
2024-11-29,Moby Dick Restaurant,Dining & Drinks,161.10,Santa Barbara
2024-11-29,Great Pacific Ice Cream,Dining & Drinks,14.50,Santa Barbara
2024-11-29,The Bite Restaurant,Dining & Drinks,45.57,San Francisco
